Date,Open,High,Low,Close,Adj Close,Volume
04/06/2019,34.380001,35.77,34.299999,35.73,34.211025,12875700
05/06/2019,36.040001,36.139999,35.330002,35.84,34.316353,9605600
06/06/2019,35.09,35.439999,34.459999,35.189999,34.055058,9749200
07/06/2019,35.310001,35.549999,35.150002,35.490002,34.345383,6561000
10/06/2019,36.130001,36.509998,35.889999,36.009998,34.84861,8498000
11/06/2019,36.360001,36.580002,36.099998,36.200001,35.032486,4652000
12/06/2019,36.259998,36.259998,35.560001,35.669998,34.519577,5508100
13/06/2019,35.630001,36.049999,35.41,36.02,34.858288,3917300
14/06/2019,35.880001,35.990002,35.540001,35.66,34.509899,4953400
17/06/2019,35.560001,36.18,35.360001,36.139999,34.974415,5454900
18/06/2019,36.380001,36.779999,36.139999,36.700001,35.516357,8226900
19/06/2019,37,37.470001,36.75,36.779999,35.593781,10884800
20/06/2019,37.150002,37.310001,36.490002,36.959999,35.767975,8639700
21/06/2019,36.959999,37.099998,36.650002,36.919998,35.729259,13004600
24/06/2019,36.830002,37.119999,36.580002,36.959999,35.767975,7449000
25/06/2019,37.060001,37.880001,36.740002,37.68,36.464748,12930500
26/06/2019,37.82,38.5,37.709999,38.130001,36.900238,11911400
27/06/2019,38.599998,38.990002,38.16,38.32,37.08411,8106600
28/06/2019,38.330002,38.919998,38.330002,38.529999,37.287334,11480900
01/07/2019,38.93,38.990002,38.43,38.75,37.50024,10240000
02/07/2019,38.73,38.75,38.150002,38.34,37.103466,6679300
03/07/2019,38.5,38.689999,37.990002,38.16,36.929272,4409400
05/07/2019,38,38.52,37.740002,38.5,37.258308,4851900
08/07/2019,38.41,38.639999,38.119999,38.23,36.997013,5787300
09/07/2019,37.970001,38.169998,37.580002,38.080002,36.851849,6204700
10/07/2019,38.349998,38.470001,37.869999,38.099998,36.871208,5153100
11/07/2019,38.279999,38.580002,38.099998,38.43,37.190559,4598400
12/07/2019,38.599998,39.41,38.52,39.209999,37.945404,7164700
15/07/2019,39.209999,39.360001,38.889999,39.360001,38.090569,5448800
16/07/2019,38.990002,39.700001,38.650002,39.43,38.158314,8584800
17/07/2019,39.41,39.459999,38.82,39.16,37.897018,5727300
18/07/2019,38.970001,39.279999,38.869999,39.119999,37.858307,5713800
19/07/2019,39.400002,39.82,39.240002,39.48,38.206699,8194500
22/07/2019,39.959999,40.369999,39.77,39.860001,38.57444,6812800
23/07/2019,40.349998,40.919998,40.150002,40.709999,39.397026,12584300
24/07/2019,40.59,40.91,40.330002,40.880001,39.561546,7318200
25/07/2019,40.34,40.82,40.119999,40.75,39.435738,8304800
26/07/2019,40.720001,41,40.470001,40.77,39.455093,5705900
29/07/2019,40.709999,40.880001,40.560001,40.68,39.367996,5711200
30/07/2019,40.259998,40.560001,39.919998,40.43,39.126057,5436900
31/07/2019,40.599998,40.720001,40.110001,40.34,39.03896,10155700
01/08/2019,41.259998,41.900002,39.669998,40.150002,38.855087,18102900
02/08/2019,39.91,40.23,39.59,39.779999,38.497021,9144900
05/08/2019,39.200001,39.279999,38.68,39.009998,37.75185,9478000
06/08/2019,39.16,39.310001,38.650002,39.080002,37.819603,7104500
07/08/2019,38.689999,39.5,38.41,39.389999,38.119598,7924700
08/08/2019,39.5,40.200001,39.369999,40.099998,38.806702,6204200
09/08/2019,39.759998,39.860001,39.299999,39.610001,38.332504,6125000
12/08/2019,39.23,39.310001,38.669998,38.860001,37.606697,4130100
13/08/2019,38.830002,39.630001,38.48,39.009998,37.75185,6318700
14/08/2019,38.25,38.279999,37.049999,37.189999,35.990555,9878100
15/08/2019,37.169998,37.240002,36.150002,36.470001,35.293777,7904300
16/08/2019,36.580002,37.099998,36.369999,37,35.806683,7171900
19/08/2019,37.509998,37.599998,37.189999,37.360001,36.155075,3899900
20/08/2019,37.200001,37.290001,36.919998,36.959999,35.767975,4110400
21/08/2019,37.360001,37.360001,37.060001,37.119999,35.922806,3791800
22/08/2019,37.25,37.509998,37.049999,37.259998,36.058296,4044300
23/08/2019,36.610001,37.18,35.900002,36.060001,34.896999,7834100
26/08/2019,36.490002,36.610001,36.009998,36.25,35.080872,4838500
27/08/2019,36.470001,36.580002,35.849998,35.889999,34.732479,6221600
28/08/2019,35.700001,36.57,35.580002,36.439999,35.264744,7284600
29/08/2019,36.799999,37.02,36.73,36.91,35.719585,5123700
30/08/2019,37.25,37.34,36.91,37.09,35.89378,4599000
03/09/2019,36.889999,37.009998,36.540001,36.91,35.719585,6093900
04/09/2019,37.310001,38.32,37.240002,38.240002,37.006691,8105700
05/09/2019,38.619999,39.540001,38.619999,38.73,37.857082,10747000
06/09/2019,38.919998,38.93,38.52,38.779999,37.905952,5012700
09/09/2019,39.060001,39.779999,38.950001,39.580002,38.687923,7543800
10/09/2019,39.200001,39.68,38.84,39.580002,38.687923,7233600
11/09/2019,39.400002,39.540001,38.860001,39.459999,38.570625,6991800
12/09/2019,39.41,39.490002,38.900002,39.07,38.189419,6982100
13/09/2019,39.470001,39.580002,38.779999,38.860001,37.98415,10133600
16/09/2019,37.970001,38.16,36.970001,37.209999,36.371338,15650300
17/09/2019,37.200001,38.419998,36.849998,38.290001,37.426998,11349200
18/09/2019,38.150002,38.349998,37.919998,38.18,37.319477,5949800
19/09/2019,38.25,38.349998,37.740002,37.779999,36.92849,4924600
20/09/2019,38.060001,38.07,37.290001,37.369999,36.527733,18762200
23/09/2019,36.790001,37.43,36.57,37.240002,36.400665,7044100
24/09/2019,37.34,37.490002,36.549999,36.77,35.941254,6965500
25/09/2019,36.759998,37.25,36.439999,37.110001,36.273594,8414900
26/09/2019,37.360001,37.889999,37.169998,37.610001,36.762325,8301200
27/09/2019,37.84,37.970001,36.970001,37.419998,36.576607,6879500
30/09/2019,37.529999,37.580002,37.009998,37.48,36.635254,7477000
01/10/2019,37.470001,37.48,36.029999,36.110001,35.296131,9991600
02/10/2019,35.77,35.77,34.41,34.68,33.898361,12940100
03/10/2019,34.509998,34.990002,34.16,34.98,34.191601,12044600
04/10/2019,35,35.189999,34.580002,34.91,34.123177,7037700
07/10/2019,34.599998,35.110001,34.299999,34.75,33.966785,6640500
08/10/2019,34.310001,34.470001,33.709999,33.880001,33.116394,10686900
09/10/2019,33.98,34.34,33.790001,34.139999,33.370529,6329300
10/10/2019,34.450001,35.299999,34.209999,34.66,33.878811,10914900
11/10/2019,35.220001,36,35.209999,35.57,34.768299,12177900
14/10/2019,35.389999,35.560001,35.27,35.5,34.699879,5630700
15/10/2019,35.470001,36.560001,35.169998,36.259998,35.442749,10249400
16/10/2019,36.490002,37.220001,36.450001,36.650002,35.823963,13294400
17/10/2019,36.810001,36.82,35.869999,36.189999,35.374325,8122200
18/10/2019,36.09,36.369999,36.009998,36.169998,35.354778,6858800
21/10/2019,36.439999,36.720001,35.630001,35.93,35.12019,7039300
22/10/2019,35.77,36.580002,35.560001,36.310001,35.491623,6730400
23/10/2019,36.25,36.639999,35.830002,36.610001,35.784866,6413900
24/10/2019,36.619999,36.77,35.740002,35.82,35.012669,6718800
25/10/2019,35.779999,36.82,35.759998,36.740002,35.911934,8735600
28/10/2019,37.209999,37.299999,36.490002,36.639999,35.814186,10645500
29/10/2019,37.599998,38.700001,37.599998,38.209999,37.348797,18562500
30/10/2019,38.259998,38.259998,37.419998,37.91,37.055561,7393200
31/10/2019,37.619999,37.91,36.860001,37.16,36.322464,7652700
01/11/2019,37.209999,38.07,37.209999,37.970001,37.114208,7925000
04/11/2019,38.349998,38.490002,38.220001,38.389999,37.524746,7782300
05/11/2019,38.610001,38.889999,38.209999,38.23,37.368351,7317800
06/11/2019,38.369999,38.48,37.759998,38.419998,37.554066,7280900
07/11/2019,38.599998,38.900002,38.459999,38.490002,37.62249,8070100
08/11/2019,38.419998,38.669998,37.82,38.669998,37.798431,5913000
11/11/2019,38.599998,38.799999,38.380001,38.720001,37.847305,3907400
12/11/2019,38.740002,38.959999,38.360001,38.59,37.720234,12687200
13/11/2019,38.400002,38.400002,37.09,37.189999,36.351791,12447200
14/11/2019,37.099998,37.450001,36.689999,36.799999,35.970581,13019300
15/11/2019,37,37.110001,36.73,36.889999,36.058548,12358900
18/11/2019,36.68,36.830002,36.389999,36.619999,35.794636,9766600
19/11/2019,36.669998,36.700001,36.009998,36.380001,35.560051,10534600
20/11/2019,36.209999,36.259998,35.18,35.279999,34.484837,14056200
21/11/2019,35.529999,35.580002,34.59,34.669998,33.888588,14379800
22/11/2019,35.27,35.5,34.93,35.330002,34.533714,13566900
25/11/2019,35.450001,35.889999,35.349998,35.810001,35.002895,12208000
26/11/2019,35.700001,35.93,35.509998,35.91,35.100639,8245900
27/11/2019,36.009998,36.27,35.849998,36.139999,35.325455,5838700
29/11/2019,36.049999,36.130001,35.849998,36,35.18861,3927000
02/12/2019,36.009998,36.360001,35.84,35.880001,35.071316,6782000
03/12/2019,35.470001,35.619999,34.959999,35.529999,34.729202,8211000
04/12/2019,35.740002,36.049999,35.68,35.799999,34.993114,8962100
05/12/2019,35.599998,35.650002,35.220001,35.310001,34.884445,6892800
06/12/2019,35.639999,35.759998,35.450001,35.540001,35.111671,8404200
09/12/2019,35.450001,35.59,35.349998,35.380001,34.953602,6922700
10/12/2019,35.349998,35.380001,34.959999,35.110001,34.686855,7594600
11/12/2019,35.130001,35.41,35.099998,35.240002,34.815289,7754200
12/12/2019,35.34,36.290001,35.240002,36.099998,35.664921,11352800
13/12/2019,36.16,36.34,35.610001,35.650002,35.220348,8276000
16/12/2019,35.82,36.240002,35.650002,36.110001,35.674805,11233700
17/12/2019,36.200001,36.389999,36.110001,36.310001,35.872395,8869800
18/12/2019,36.34,37.43,36.330002,37.310001,36.86034,12651000
19/12/2019,37.310001,37.360001,36.84,37.259998,36.81094,10774000
20/12/2019,37.540001,37.619999,37.189999,37.25,36.801064,13976100
23/12/2019,37.389999,37.41,36.630001,36.77,36.326847,8754500
24/12/2019,36.73,36.740002,36.5,36.580002,36.139141,2924200
26/12/2019,36.59,36.599998,36.330002,36.48,36.040344,5439700
27/12/2019,36.560001,36.709999,36.43,36.560001,36.119381,5753500
30/12/2019,36.5,36.639999,36.200001,36.439999,36.000824,5353900
31/12/2019,36.369999,36.740002,36.32,36.599998,36.158894,5160200
02/01/2020,37,37.380001,36.549999,37.380001,36.929497,7454400
03/01/2020,36.73,36.919998,36.110001,36.32,35.882271,9173000
06/01/2020,35.950001,36.18,35.799999,35.84,35.408058,8408200
07/01/2020,35.75,35.84,34.740002,35.150002,34.726376,17556800
08/01/2020,35.040001,35.200001,34.41,34.650002,34.232399,13229400
09/01/2020,34.990002,35.099998,34.529999,35.080002,34.657219,9610400
10/01/2020,35.150002,36.450001,34.509998,34.650002,34.232399,9644900
13/01/2020,34.689999,35,34.490002,34.98,34.558422,7465700
14/01/2020,35,35.349998,34.959999,35.150002,34.726376,6827100
15/01/2020,35,35.32,34.889999,35.150002,34.726376,7173900
16/01/2020,35.209999,35.580002,35.150002,35.549999,35.121552,7280800
17/01/2020,35.57,35.73,35.41,35.599998,35.170948,9871700
21/01/2020,35.360001,35.549999,34.959999,34.990002,34.568302,11550500
22/01/2020,35.130001,35.349998,34.860001,34.91,34.489265,7358400
23/01/2020,34.77,34.990002,34.009998,34.880001,34.459629,8595200
24/01/2020,34.900002,34.990002,34.009998,34.310001,33.896496,9386600
27/01/2020,33.630001,33.759998,33.169998,33.41,33.007343,10359100
28/01/2020,33.57,33.860001,33.34,33.639999,33.23457,8871000
29/01/2020,33.799999,34.040001,33.59,33.599998,33.195053,6977700
30/01/2020,33.400002,33.450001,32.970001,33.330002,32.92831,11533000
31/01/2020,33.25,33.490002,33.139999,33.389999,32.987583,18631400
03/02/2020,33.560001,34.34,33.52,33.720001,33.313606,17937100
04/02/2020,34.349998,34.82,34.200001,34.369999,33.955772,14346300
05/02/2020,34.900002,35.450001,34.189999,35.029999,34.607819,19050400
06/02/2020,35.049999,35.099998,34.25,34.330002,33.916256,11866300
07/02/2020,34.080002,34.16,33.419998,33.630001,33.224693,14437100
10/02/2020,33.990002,34.299999,33.669998,34.25,33.837219,12260600
11/02/2020,34.34,35.259998,34.07,35.009998,34.588058,12718600
12/02/2020,35.330002,35.790001,35.130001,35.490002,35.062275,12076300
13/02/2020,35.209999,35.529999,35.16,35.290001,34.864685,7578400
14/02/2020,35.299999,35.389999,34.419998,34.759998,34.341072,8946000
18/02/2020,34.25,34.740002,33.959999,34.41,33.995289,10531000
19/02/2020,34.529999,35.099998,34.52,34.919998,34.499142,9079500
20/02/2020,34.66,35.400002,34.59,35.290001,34.864685,7817900
21/02/2020,34.990002,35.080002,34.41,34.650002,34.232399,8431500
24/02/2020,33.639999,33.75,32.790001,33.09,32.6912,14743100
25/02/2020,33.25,33.279999,31.4,31.75,31.36735,14621900
26/02/2020,32.099998,32.610001,31.889999,32,31.614336,14421900
27/02/2020,31.299999,31.92,30.549999,30.709999,30.339882,14934500
28/02/2020,29.780001,30.5,29.33,30.5,30.132414,20832300
02/03/2020,30.52,31.450001,29.74,31.42,31.041327,14994600
03/03/2020,31.5,32.299999,30.26,30.52,30.152174,15816200
04/03/2020,31,31.57,30.360001,31.530001,31.150002,16227800
05/03/2020,30.540001,30.77,30.01,30.1,30.1,17921300
06/03/2020,29.209999,29.540001,28.450001,28.690001,28.690001,20009500
09/03/2020,26,26.120001,24.15,24.690001,24.690001,28350600
10/03/2020,25.98,27.139999,24.59,27.120001,27.120001,18287700
11/03/2020,26,26.620001,25.76,26,26,21309700
12/03/2020,23.6,24.35,22.5,23.040001,23.040001,20344500
13/03/2020,24.6,25.33,22.9,24.709999,24.709999,17909800
16/03/2020,21.51,22.41,21,21,21,18056800
17/03/2020,21.309999,21.58,19.5,20.32,20.32,23544400
18/03/2020,18.83,19.049999,14.33,16.799999,16.799999,39591100
19/03/2020,16.34,18.99,15,17.709999,17.709999,34361800
20/03/2020,18.42,18.959999,17.68,18.139999,18.139999,35702000
23/03/2020,18.01,18.559999,17.23,17.6,17.6,25419700
24/03/2020,19.32,21.67,18.6,21.110001,21.110001,24082900
25/03/2020,23,23.15,21,21.49,21.49,27617200
26/03/2020,21.639999,22.969999,21.059999,22.559999,22.559999,16959000
27/03/2020,21.370001,21.959999,20.74,21.379999,21.379999,18349700
30/03/2020,22.309999,22.48,20.629999,21.32,21.32,18477800
31/03/2020,20.969999,22.209999,20.549999,20.780001,20.780001,20303000
01/04/2020,19.5,20.17,18.99,19.26,19.26,17467100
02/04/2020,19.1,19.690001,17.790001,18.190001,18.190001,17920600
03/04/2020,18.4,18.780001,17.85,18.040001,18.040001,13835500
06/04/2020,19.1,19.76,18.549999,19.549999,19.549999,22442100
07/04/2020,21.27,22.209999,20.709999,21.299999,21.299999,30405600
08/04/2020,21.74,23.6,21.469999,23.129999,23.129999,23774400
09/04/2020,24.16,24.99,23.58,24.059999,24.059999,22490500
13/04/2020,24.040001,24.1,22.719999,23.01,23.01,14802600
14/04/2020,23.6,23.77,22.67,22.98,22.98,12654700
15/04/2020,21.92,22.27,21.469999,21.66,21.66,12760900
16/04/2020,21.639999,21.65,20.559999,20.870001,20.870001,11501700
17/04/2020,21.92,22.540001,21.83,22.48,22.48,17166300
20/04/2020,21.719999,22.639999,21.440001,22.379999,22.379999,15912400
21/04/2020,21.27,21.889999,20.98,21.24,21.24,13507300
22/04/2020,21.65,21.780001,21.07,21.299999,21.299999,9553600
23/04/2020,21.549999,22.059999,21.450001,21.52,21.52,10673000
24/04/2020,21.709999,22.24,21.540001,21.950001,21.950001,11991400
27/04/2020,21.52,22.57,21.139999,22.450001,22.450001,20240600
28/04/2020,23.18,23.4,22.1,22.18,22.18,22085500
29/04/2020,22.75,24.57,22.68,23.780001,23.780001,23541000
30/04/2020,23.440001,23.440001,22.25,22.290001,22.290001,15256700
01/05/2020,21.65,21.76,20.799999,20.9,20.9,17874500
04/05/2020,20.450001,20.879999,20.120001,20.75,20.75,16188800
05/05/2020,21.25,21.969999,21.120001,21.26,21.26,17802300
06/05/2020,23.049999,23.65,21.83,21.889999,21.889999,34430500
07/05/2020,22.18,22.98,22.030001,22.440001,22.440001,16977100
08/05/2020,23.07,24,23.049999,23.93,23.93,16562300
11/05/2020,23.25,23.389999,22.59,22.799999,22.799999,16754000
12/05/2020,22.99,23.27,22.549999,22.559999,22.559999,12182900
13/05/2020,22.440001,22.450001,21.129999,21.459999,21.459999,16832600
14/05/2020,20.66,22.34,20.49,22.309999,22.309999,15629100
15/05/2020,21.969999,22.68,21.83,22.629999,22.629999,14221300
18/05/2020,24,25.209999,24,24.809999,24.809999,23289200
19/05/2020,24.75,25.700001,24.290001,24.690001,24.690001,18484600
20/05/2020,25.309999,25.889999,25.219999,25.48,25.48,14056800
21/05/2020,25.290001,26.02,25.209999,25.799999,25.799999,14320700
22/05/2020,25.99,26.23,25.219999,25.98,25.98,14317400
26/05/2020,27.82,27.889999,27.25,27.4,27.4,18870500
27/05/2020,28.530001,28.83,26.91,27.790001,27.790001,15030700
28/05/2020,27.860001,27.940001,26.6,26.68,26.68,11641000
29/05/2020,26.35,26.57,25.690001,25.879999,25.879999,22223500
01/06/2020,25.99,27.219999,25.91,26.940001,26.940001,10452800
02/06/2020,27.32,27.620001,26.950001,27.41,27.41,10953800
03/06/2020,28.42,29.129999,28.25,29.07,29.07,16823000
